"iso2c","country","EN.RUR.DNST","year"
"","Africa",444.113824748756,2011
"","Africa",438.467203520184,2010
"","Africa",434.287791312652,2009
"","Africa",440.419341672284,2008
"","Africa",444.685066344822,2007
"","Africa",435.753803868729,2006
"","Africa",435.680837904357,2005
"DZ","Algeria",130.003000939414,2011
"DZ","Algeria",132.265874034657,2010
"DZ","Algeria",135.467466865608,2009
"DZ","Algeria",138.420072517025,2008
"DZ","Algeria",141.532497534476,2007
"DZ","Algeria",144.13522955502,2006
"DZ","Algeria",145.859023384237,2005
"AO","Angola",195.501981365073,2011
"AO","Angola",193.709331549268,2010
"AO","Angola",197.18613486075,2009
"AO","Angola",230.224900872235,2008
"AO","Angola",228.255534327706,2007
"AO","Angola",232.834797014182,2006
"AO","Angola",230.131769756667,2005
"BJ","Benin",194.312962353023,2011
"BJ","Benin",194.216803096063,2010
"BJ","Benin",197.991702858367,2009
"BJ","Benin",183.3302012,2008
"BJ","Benin",187.221959694,2007
"BJ","Benin",183.7130466488,2006
"BJ","Benin",166.803245084815,2005
"BW","Botswana",300.966348562162,2011
"BW","Botswana",302.382296274131,2010
"BW","Botswana",249.292294096203,2009
"BW","Botswana",283.664991138351,2008
"BW","Botswana",436.526382901099,2007
"BW","Botswana",396.717927776119,2006
"BW","Botswana",333.557181833333,2005
"BF","Burkina Faso",218.769104718421,2011
"BF","Burkina Faso",204.028152960333,2010
"BF","Burkina Faso",210.767974940526,2009
"BF","Burkina Faso",193.266701496721,2008
"BF","Burkina Faso",236.093923672857,2007
"BF","Burkina Faso",241.53699929234,2006
"BF","Burkina Faso",227.357959667143,2005
"BI","Burundi",830.225783026087,2011
"BI","Burundi",814.211544502174,2010
"BI","Burundi",754.846986107423,2009
"BI","Burundi",759.394366327659,2008
"BI","Burundi",746.893924423871,2007
"BI","Burundi",711.021203464,2006
"BI","Burundi",687.406171548117,2005
"CM","Cameroon",154.799160520968,2011
"CM","Cameroon",153.275956424516,2010
"CM","Cameroon",157.83205757196,2009
"CM","Cameroon",156.275123166057,2008
"CM","Cameroon",154.698409517558,2007
"CM","Cameroon",153.101043433842,2006
"CM","Cameroon",151.482498130304,2005
"CV","Cape Verde",398.565777,2011
"CV","Cape Verde",402.782847510638,2010
"CV","Cape Verde",407.896897697872,2009
"CV","Cape Verde",412.965002693617,2008
"CV","Cape Verde",417.79845166383,2007
"CV","Cape Verde",422.1184542,2006
"CV","Cape Verde",425.705374744681,2005
"CF","Central African Republic",151.803156221,2011
"CF","Central African Republic",149.515927611667,2010
"CF","Central African Republic",135.760615665231,2009
"CF","Central African Republic",134.964345757409,2008
"CF","Central African Republic",132.848681340933,2007
"CF","Central African Republic",130.836245028187,2006
"CF","Central African Republic",128.932311937824,2005
"TD","Chad",183.868354615837,2011
"TD","Chad",195.256116730667,2010
"TD","Chad",199.114537912233,2009
"TD","Chad",194.011943353395,2008
"TD","Chad",188.931971990651,2007
"TD","Chad",177.549273461169,2006
"TD","Chad",170.433443876889,2005
"KM","Comoros",661.367994026829,2011
"KM","Comoros",645.415152439025,2010
"KM","Comoros",606.715305011765,2009
"KM","Comoros",627.9230789,2008
"KM","Comoros",611.479779675,2007
"KM","Comoros",595.378340675,2006
"KM","Comoros",579.681246875,2005
"CD","Congo, Dem. Rep.",654.867017355441,2011
"CD","Congo, Dem. Rep.",642.904578240441,2010
"CD","Congo, Dem. Rep.",631.51504705838,2009
"CD","Congo, Dem. Rep.",622.8997529304,2008
"CD","Congo, Dem. Rep.",615.10330164403,2007
"CD","Congo, Dem. Rep.",602.590711503134,2006
"CD","Congo, Dem. Rep.",589.983008209254,2005
"CG","Congo, Rep.",300.9646472976,2011
"CG","Congo, Rep.",297.371393046,2010
"CG","Congo, Rep.",293.433367392,2009
"CG","Congo, Rep.",294.936176467347,2008
"CG","Congo, Rep.",290.21115962449,2007
"CG","Congo, Rep.",285.582561153061,2006
"CG","Congo, Rep.",281.298573722449,2005
"CI","Cote d'Ivoire",338.570009054759,2011
"CI","Cote d'Ivoire",336.515877724138,2010
"CI","Cote d'Ivoire",334.870215471448,2009
"CI","Cote d'Ivoire",333.460292524069,2008
"CI","Cote d'Ivoire",332.269724483586,2007
"CI","Cote d'Ivoire",343.0871978515,2006
"CI","Cote d'Ivoire",342.166276122857,2005
"DJ","Djibouti",10377.76344,2011
"DJ","Djibouti",10220.678358,2010
"DJ","Djibouti",10050.226787,2009
"DJ","Djibouti",19761.9401832,2008
"DJ","Djibouti",14944.7171856923,2007
"DJ","Djibouti",14694.1067190769,2006
"DJ","Djibouti",18785.640713,2005
"EG","Egypt, Arab Rep.",1623.74271277979,2011
"EG","Egypt, Arab Rep.",1598.84475639575,2010
"EG","Egypt, Arab Rep.",1567.0867692801,2009
"EG","Egypt, Arab Rep.",1682.8006632595,2008
"EG","Egypt, Arab Rep.",1705.49216643276,2007
"EG","Egypt, Arab Rep.",1650.71090535132,2006
"EG","Egypt, Arab Rep.",1649.46537970932,2005
"GQ","Equatorial Guinea",335.10846078,2011
"GQ","Equatorial Guinea",326.8340451,2010
"GQ","Equatorial Guinea",313.495562659091,2009
"GQ","Equatorial Guinea",307.642296416794,2008
"GQ","Equatorial Guinea",301.858374055385,2007
