"animals","unit","geo","time","values"
"A2000","THS_HD","CH01","2018",145.6
"A2000","THS_HD","CH02","2018",584.22
"A2000","THS_HD","CH03","2018",112.67
"A2000","THS_HD","CH04","2018",93.44
"A2000","THS_HD","CH05","2018",252.99
"A2000","THS_HD","CH06","2018",342.66
"A2000","THS_HD","CH07","2018",10.63
"A2000","THS_HD","AT1","2017",456.4
"A2000","THS_HD","AT11","2017",19.88
"A2000","THS_HD","AT12","2017",436.44
"A2000","THS_HD","AT13","2017",0.08
"A2000","THS_HD","AT2","2017",507.91
"A2000","THS_HD","AT21","2017",188.33
"A2000","THS_HD","AT22","2017",319.58
"A2000","THS_HD","AT3","2017",979.17
"A2000","THS_HD","AT31","2017",566.61
"A2000","THS_HD","AT32","2017",165.72
"A2000","THS_HD","AT33","2017",181.51
"A2000","THS_HD","AT34","2017",65.33
"A2000","THS_HD","BE1","2017",0.73
"A2000","THS_HD","BE10","2017",0.73
"A2000","THS_HD","BE2","2017",1278.92
"A2000","THS_HD","BE21","2017",332.54
"A2000","THS_HD","BE22","2017",129.83
"A2000","THS_HD","BE23","2017",318.02
"A2000","THS_HD","BE24","2017",98.78
"A2000","THS_HD","BE25","2017",399.74
"A2000","THS_HD","BE3","2017",1106.34
"A2000","THS_HD","BE31","2017",44.56
"A2000","THS_HD","BE32","2017",287.31
"A2000","THS_HD","BE33","2017",247.66
"A2000","THS_HD","BE34","2017",306.99
"A2000","THS_HD","BE35","2017",219.82
"A2000","THS_HD","BG3","2017",307.97
"A2000","THS_HD","BG31","2017",67.21
"A2000","THS_HD","BG32","2017",60.35
"A2000","THS_HD","BG33","2017",76.23
"A2000","THS_HD","BG34","2017",104.18
"A2000","THS_HD","BG4","2017",244.96
"A2000","THS_HD","BG41","2017",68.61
"A2000","THS_HD","BG42","2017",176.35
"A2000","THS_HD","CH01","2017",146.23
"A2000","THS_HD","CH02","2017",587.12
"A2000","THS_HD","CH03","2017",113.94
"A2000","THS_HD","CH04","2017",95.49
"A2000","THS_HD","CH05","2017",349.95
"A2000","THS_HD","CH06","2017",255.41
"A2000","THS_HD","CH07","2017",10.32
"A2000","THS_HD","CY0","2017",66.94
"A2000","THS_HD","CY00","2017",66.94
"A2000","THS_HD","CZ0","2017",1366.36
"A2000","THS_HD","CZ01","2017",1.68
"A2000","THS_HD","CZ02","2017",148.34
"A2000","THS_HD","CZ03","2017",367.02
"A2000","THS_HD","CZ04","2017",83.77
"A2000","THS_HD","CZ05","2017",260.05
"A2000","THS_HD","CZ06","2017",274.73
"A2000","THS_HD","CZ07","2017",150.36
"A2000","THS_HD","CZ08","2017",80.42
"A2000","THS_HD","DE1","2017",976.63
"A2000","THS_HD","DE2","2017",3134.26
"A2000","THS_HD","DE3","2017",0.89
"A2000","THS_HD","DE4","2017",533.4
"A2000","THS_HD","DE5","2017",9.93
"A2000","THS_HD","DE6","2017",6.3
"A2000","THS_HD","DE7","2017",444.16
"A2000","THS_HD","DE8","2017",535.41
"A2000","THS_HD","DE9","2017",2605.41
