"animals","unit","geo","time","values"
"A2000","THS_HD","EL30","2017",2.7
"A2000","THS_HD","EL41","2017",7.8
"A2000","THS_HD","EL42","2017",16.4
"A2000","THS_HD","EL43","2017",1.3
"A2000","THS_HD","EL51","2017",88.6
"A2000","THS_HD","EL52","2017",143
"A2000","THS_HD","EL53","2017",35.7
"A2000","THS_HD","EL54","2017",55.2
"A2000","THS_HD","EL61","2017",106.2
"A2000","THS_HD","EL62","2017",3.8
"A2000","THS_HD","EL63","2017",54.9
"A2000","THS_HD","EL64","2017",25.9
"A2000","THS_HD","EL65","2017",14.7
"A2000","THS_HD","EL30","2016",2.7
"A2000","THS_HD","EL41","2016",8.1
"A2000","THS_HD","EL42","2016",15.7
"A2000","THS_HD","EL43","2016",1.2
"A2000","THS_HD","EL51","2016",89.9
"A2000","THS_HD","EL52","2016",143.1
"A2000","THS_HD","EL53","2016",35.5
"A2000","THS_HD","EL54","2016",55.2
"A2000","THS_HD","EL61","2016",105.5
"A2000","THS_HD","EL62","2016",3.9
"A2000","THS_HD","EL63","2016",54.8
"A2000","THS_HD","EL64","2016",24.1
"A2000","THS_HD","EL65","2016",14.1
"A2000","THS_HD","EL30","2015",2.5
"A2000","THS_HD","EL41","2015",8.5
"A2000","THS_HD","EL42","2015",16
"A2000","THS_HD","EL43","2015",1.6
"A2000","THS_HD","EL51","2015",92.8
"A2000","THS_HD","EL52","2015",157.4
"A2000","THS_HD","EL53","2015",36.9
"A2000","THS_HD","EL54","2015",57.5
"A2000","THS_HD","EL61","2015",101.7
"A2000","THS_HD","EL62","2015",4.7
"A2000","THS_HD","EL63","2015",60.4
"A2000","THS_HD","EL64","2015",26
"A2000","THS_HD","EL65","2015",16.2
"A2000","THS_HD","EL30","2014",3.8
"A2000","THS_HD","EL41","2014",8.5
"A2000","THS_HD","EL42","2014",19.5
"A2000","THS_HD","EL43","2014",2.5
"A2000","THS_HD","EL51","2014",104.1
"A2000","THS_HD","EL52","2014",185.9
"A2000","THS_HD","EL53","2014",46
"A2000","THS_HD","EL54","2014",59.5
"A2000","THS_HD","EL61","2014",115.7
"A2000","THS_HD","EL62","2014",5.6
"A2000","THS_HD","EL63","2014",56.6
"A2000","THS_HD","EL64","2014",34.8
"A2000","THS_HD","EL65","2014",16.4
"A2000","THS_HD","EL11","2013",105.6
"A2000","THS_HD","EL12","2013",181.8
"A2000","THS_HD","EL13","2013",40.5
"A2000","THS_HD","EL14","2013",113.4
"A2000","THS_HD","EL21","2013",63.2
"A2000","THS_HD","EL22","2013",6.1
"A2000","THS_HD","EL23","2013",63.3
"A2000","THS_HD","EL24","2013",30.1
"A2000","THS_HD","EL25","2013",16.3
"A2000","THS_HD","EL30","2013",3.7
"A2000","THS_HD","EL41","2013",9.6
"A2000","THS_HD","EL42","2013",18.6
"A2000","THS_HD","EL43","2013",2.7
"A2000","THS_HD","EL51","2013",102.2
"A2000","THS_HD","EL52","2013",181.5
"A2000","THS_HD","EL53","2013",41.3
"A2000","THS_HD","EL54","2013",60
"A2000","THS_HD","EL61","2013",114.7
"A2000","THS_HD","EL62","2013",6.1
"A2000","THS_HD","EL63","2013",58.5
"A2000","THS_HD","EL64","2013",35.5
"A2000","THS_HD","EL65","2013",16.8
"A2000","THS_HD","EL11","2012",107.3
"A2000","THS_HD","EL12","2012",182.6
"A2000","THS_HD","EL13","2012",42
"A2000","THS_HD","EL14","2012",129.9
"A2000","THS_HD","EL21","2012",67.2
"A2000","THS_HD","EL22","2012",5.7
"A2000","THS_HD","EL23","2012",62.3
"A2000","THS_HD","EL24","2012",26.7
"A2000","THS_HD","EL25","2012",22.7
"A2000","THS_HD","EL30","2012",3
"A2000","THS_HD","EL41","2012",9.1
"A2000","THS_HD","EL42","2012",18
"A2000","THS_HD","EL43","2012",2.5
"A2000","THS_HD","EL51","2012",107.5
"A2000","THS_HD","EL52","2012",185.2
"A2000","THS_HD","EL53","2012",39.6
"A2000","THS_HD","EL54","2012",61.9
"A2000","THS_HD","EL61","2012",118.9
"A2000","THS_HD","EL62","2012",6
"A2000","THS_HD","EL63","2012",59.9
"A2000","THS_HD","EL64","2012",33.8
"A2000","THS_HD","EL65","2012",17.6
"A2000","THS_HD","EL11","2011",113.8
"A2000","THS_HD","EL12","2011",193.3
"A2000","THS_HD","EL13","2011",42.1
"A2000","THS_HD","EL14","2011",115.9
"A2000","THS_HD","EL21","2011",65.4
"A2000","THS_HD","EL22","2011",5.2
"A2000","THS_HD","EL23","2011",63.3
"A2000","THS_HD","EL24","2011",30.2
"A2000","THS_HD","EL25","2011",17.5
"A2000","THS_HD","EL30","2011",4.2
"A2000","THS_HD","EL41","2011",9.2
"A2000","THS_HD","EL42","2011",18.2
"A2000","THS_HD","EL43","2011",2.5
"A2000","THS_HD","EL51","2011",113.9
"A2000","THS_HD","EL52","2011",193.3
"A2000","THS_HD","EL53","2011",42.1
"A2000","THS_HD","EL54","2011",65.4
"A2000","THS_HD","EL61","2011",115.8
"A2000","THS_HD","EL62","2011",5.2
"A2000","THS_HD","EL63","2011",63.1
"A2000","THS_HD","EL64","2011",30.3
"A2000","THS_HD","EL65","2011",17.5
"A2000","THS_HD","EL11","2010",112.4
"A2000","THS_HD","EL12","2010",192.2
"A2000","THS_HD","EL13","2010",42.8
"A2000","THS_HD","EL14","2010",120.1
