"tid","geom","id_0","id","name","prefecture","address","country","product","product_na","quality","activity","duration","addrtype","addrlocat"
1,"0104000020E6100000010000000101000000B2721E04D3DB3740A04E797423124340",1,"1","ULPACK A.E.","ΑΤΤΙΚΗΣ","Άγιο Στέφανο του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΑΣΕΡΙ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","03.09.2015 έως 02.09.2018","locality","APPROXIMATE"
2,"0104000020E6100000010000000101000000B2721E04D3DB3740A04E797423124340",2,"2","ULPACK A.E.","ΑΤΤΙΚΗΣ","Άγιο Στέφανο του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΝΑΞΟΥ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","03.09.2015 έως 02.09.2018","locality","APPROXIMATE"
3,"0104000020E6100000010000000101000000B2721E04D3DB3740A04E797423124340",3,"3","ULPACK A.E.","ΑΤΤΙΚΗΣ","Άγιο Στέφανο του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","19.11.2014 έως 18.11.2017","locality","APPROXIMATE"
4,"0104000020E6100000010000000101000000B2721E04D3DB3740A04E797423124340",4,"4","ULPACK A.E.","ΑΤΤΙΚΗΣ","Άγιο Στέφανο του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","03.09.2015 έως 02.09.2018","locality","APPROXIMATE"
5,"0104000020E6100000010000000101000000B2721E04D3DB3740A04E797423124340",5,"5","ULPACK A.E.","ΑΤΤΙΚΗΣ","Άγιο Στέφανο του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΜΑΝΟΥΡΙ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","03.09.2015 έως 02.09.2018","locality","APPROXIMATE"
6,"0104000020E6100000010000000101000000B2721E04D3DB3740A04E797423124340",6,"6","ULPACK A.E.","ΑΤΤΙΚΗΣ","Άγιο Στέφανο του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","03.09.2015 έως 02.09.2018","locality","APPROXIMATE"
7,"0104000020E6100000010000000101000000339298FB3FBA3740D4BE1479EDFD4240",7,"7","ANGEL FOODS IKE","ΑΤΤΙΚΗΣ","Αθήνα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","εμπορία","10.12.2014 έως 09.12.2017","locality","APPROXIMATE"
8,"0104000020E6100000010000000101000000339298FB3FBA3740D4BE1479EDFD4240",8,"8","D.S.A.M. ΣΥΜΒΟΥΛΕΥΤΙΚΗ Α.Ε. με δ.τ. ""D.S.A.M. CONSULTING A.E.""","ΑΤΤΙΚΗΣ","Αθήνα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","εμπορία","08.12.2015 έως 07.12.2018","locality","APPROXIMATE"
9,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",9,"9","DORONET DELICATESSEN ΑΒΕΕ","ΑΤΤΙΚΗΣ","Μενίδι του N. Αττικής","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΝΑΞΟΥ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","12.10.2014 έως 11.10.2017","locality","APPROXIMATE"
10,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",10,"10","DORONET DELICATESSEN ΑΒΕΕ","ΑΤΤΙΚΗΣ","Μενίδι του N. Αττικής","Ελλάδα","ΤΥΡΙ","ΜΑΝΟΥΡΙ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","12.10.2014 έως 11.10.2017","locality","APPROXIMATE"
11,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",11,"11","DORONET DELICATESSEN ΑΒΕΕ","ΑΤΤΙΚΗΣ","Μενίδι του N. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","12.10.2014 έως 11.10.2017","locality","APPROXIMATE"
12,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",12,"12","DORONET DELICATESSEN ΑΒΕΕ","ΑΤΤΙΚΗΣ","Μενίδι του N. Αττικής","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","12.10.2014 έως 11.10.2017","locality","APPROXIMATE"
13,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",13,"13","DORONET DELICATESSEN ΑΒΕΕ","ΑΤΤΙΚΗΣ","Μενίδι του N. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΑΣΕΡΙ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","12.10.2014 έως 11.10.2017","locality","APPROXIMATE"
14,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",14,"14","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ATTIKΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΑΣΕΡΙ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","23.04.2017 έως 22.04.2020","route","GEOMETRIC_CENTER"
15,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",15,"15","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ATTIKΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΛΑΔΟΤΥΡΙ ΜΥΤΙΛΗΝΗΣ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","23.04.2017 έως 22.04.2020","route","GEOMETRIC_CENTER"
16,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",16,"16","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ATTIKΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","23.04.2017 έως 22.04.2020","route","GEOMETRIC_CENTER"
17,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",17,"17","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ATTIKΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","MΑΝΟΥΡΙ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","23.04.2017 έως 22.04.2020","route","GEOMETRIC_CENTER"
18,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",18,"18","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ATTIKΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","22.07.2014 έως 21.07.2017","route","GEOMETRIC_CENTER"
19,"0104000020E61000000100000001010000009422E81EC8DC3740BBFC3D67C1014340",19,"19","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ATTIKΗΣ","Γέρακα του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","22.07.2014 έως 21.07.2017","route","GEOMETRIC_CENTER"
20,"0104000020E610000001000000010100000050076811404235405A48C0E8F23A4440",20,"20","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ΚΑΣΤΟΡΙΑΣ","Άργος του Ν. Καστοριάς","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","27.06.2016 έως 26.06.2019","route","GEOMETRIC_CENTER"
21,"0104000020E610000001000000010100000050076811404235405A48C0E8F23A4440",21,"21","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ΚΑΣΤΟΡΙΑΣ","Άργος του Ν. Καστοριάς","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","22.08.2016 έως 21.08.2019","route","GEOMETRIC_CENTER"
22,"0104000020E610000001000000010100000050076811404235405A48C0E8F23A4440",22,"23","EUROFOOD ΠΟΙΟΤΗΤΑ Α.Ε.","ΚΑΣΤΟΡΙΑΣ","Άργος του Ν. Καστοριάς","Ελλάδα","ΤΥΡΙ","ΚΑΣΕΡΙ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","24.05.2016 έως 23.05.2019","route","GEOMETRIC_CENTER"
