"aquameth","aquaenv","species","fishreg","unit","geo","time","values"
"TOTAL","TOTAL","F00","0","TLW","AT","2016",3485.5
"TOTAL","TOTAL","F00","0","TLW","BE","2016",44
"TOTAL","TOTAL","F00","0","TLW","BG","2016",12445.03
"TOTAL","TOTAL","F00","0","TLW","CY","2016",6624.8
"TOTAL","TOTAL","F00","0","TLW","CZ","2016",20950.1
"TOTAL","TOTAL","F00","0","TLW","DE","2016",32336.4
"TOTAL","TOTAL","F00","0","TLW","DK","2016",34770.03
"TOTAL","TOTAL","F00","0","TLW","EE","2016",867.73
"TOTAL","TOTAL","F00","0","TLW","EL","2016",123323.5
"TOTAL","TOTAL","F00","0","TLW","ES","2016",287281.81
"TOTAL","TOTAL","F00","0","TLW","FI","2016",14413
"TOTAL","TOTAL","F00","0","TLW","HR","2016",17268.98
"TOTAL","TOTAL","F00","0","TLW","IE","2016",41260.4
"TOTAL","TOTAL","F00","0","TLW","IS","2016",15129
"TOTAL","TOTAL","F00","0","TLW","LT","2016",4098.85
"TOTAL","TOTAL","F00","0","TLW","LV","2016",779
"TOTAL","TOTAL","F00","0","TLW","MT","2016",12466.49
"TOTAL","TOTAL","F00","0","TLW","NL","2016",61763.44
"TOTAL","TOTAL","F00","0","TLW","NO","2016",1326156.84
"TOTAL","TOTAL","F00","0","TLW","PL","2016",35452.01
"TOTAL","TOTAL","F00","0","TLW","PT","2016",11262.73
"TOTAL","TOTAL","F00","0","TLW","RO","2016",12585.48
"TOTAL","TOTAL","F00","0","TLW","RS","2016",6877.66
"TOTAL","TOTAL","F00","0","TLW","SE","2016",15747
"TOTAL","TOTAL","F00","0","TLW","SI","2016",1825.9
"TOTAL","TOTAL","F00","0","TLW","SK","2016",1956.59
"TOTAL","TOTAL","F00","0","TLW","TR","2016",249561
"TOTAL","TOTAL","F00","0","TLW","UK","2016",194275.32
"TOTAL","TOTAL","F00","0","TLW","AT","2015",3503.06
"TOTAL","TOTAL","F00","0","TLW","BE","2015",32
"TOTAL","TOTAL","F00","0","TLW","BG","2015",10652.39
"TOTAL","TOTAL","F00","0","TLW","CY","2015",5458.56
"TOTAL","TOTAL","F00","0","TLW","CZ","2015",20200
"TOTAL","TOTAL","F00","0","TLW","DE","2015",26867.4
"TOTAL","TOTAL","F00","0","TLW","DK","2015",35990
"TOTAL","TOTAL","F00","0","TLW","EE","2015",798.27
"TOTAL","TOTAL","F00","0","TLW","EL","2015",105934.4
"TOTAL","TOTAL","F00","0","TLW","ES","2015",293509.95
"TOTAL","TOTAL","F00","0","TLW","EU28","2015",1259832.85
