"species","fishreg","aquaenv","unit","geo","time","values"
"F00","0","TOTAL","TLW","AL","2007",2008
"F00","0","TOTAL","TLW","AT","2007",2539
"F00","0","TOTAL","TLW","BA","2007",7620
"F00","0","TOTAL","TLW","BE","2007",188
"F00","0","TOTAL","TLW","BG","2007",4433
"F00","0","TOTAL","TLW","CH","2007",1217
"F00","0","TOTAL","TLW","CY","2007",3200
"F00","0","TOTAL","TLW","CZ","2007",20447
"F00","0","TOTAL","TLW","CZ_SK","2007",21646
"F00","0","TOTAL","TLW","DE","2007",44999
"F00","0","TOTAL","TLW","DK","2007",31369
"F00","0","TOTAL","TLW","EE","2007",779
"F00","0","TOTAL","TLW","EEA18","2007",2036397
"F00","0","TOTAL","TLW","EEA28","2007",2126244
"F00","0","TOTAL","TLW","EEA30","2007",2140991
"F00","0","TOTAL","TLW","EFTA","2007",836230
"F00","0","TOTAL","TLW","EL","2007",113259
"F00","0","TOTAL","TLW","ES","2007",283747
"F00","0","TOTAL","TLW","EU15","2007",1200699
"F00","0","TOTAL","TLW","EU25","2007",1291231
"F00","0","TOTAL","TLW","EU27","2007",1305978
"F00","0","TOTAL","TLW","EX_YU","2007",16708
"F00","0","TOTAL","TLW","FI","2007",13031
"F00","0","TOTAL","TLW","FO","2007",29954
"F00","0","TOTAL","TLW","FR","2007",237663
"F00","0","TOTAL","TLW","HR","2007",12884
"F00","0","TOTAL","TLW","HU","2007",15922
"F00","0","TOTAL","TLW","IE","2007",52504
"F00","0","TOTAL","TLW","IS","2007",4823
"F00","0","TOTAL","TLW","IT","2007",180991
"F00","0","TOTAL","TLW","LT","2007",3377
"F00","0","TOTAL","TLW","LV","2007",728
"F00","0","TOTAL","TLW","ME","2007",11
"F00","0","TOTAL","TLW","MK","2007",1096
"F00","0","TOTAL","TLW","MT","2007",8598
"F00","0","TOTAL","TLW","NL","2007",53371
"F00","0","TOTAL","TLW","NO","2007",830190
"F00","0","TOTAL","TLW","PL","2007",34928
"F00","0","TOTAL","TLW","PT","2007",7473
"F00","0","TOTAL","TLW","RO","2007",10314
"F00","0","TOTAL","TLW","RS","2007",6528
"F00","0","TOTAL","TLW","SE","2007",5365
"F00","0","TOTAL","TLW","SI","2007",1354
"F00","0","TOTAL","TLW","SK","2007",1199
"F00","0","TOTAL","TLW","TR","2007",140021
"F00","0","TOTAL","TLW","UK","2007",174200
"F00","0","TOTAL","TLW","AL","2006",1970
"F00","0","TOTAL","TLW","AT","2006",2503
"F00","0","TOTAL","TLW","BA","2006",7621
"F00","0","TOTAL","TLW","BE","2006",188
"F00","0","TOTAL","TLW","BG","2006",3257
"F00","0","TOTAL","TLW","CH","2006",1214
"F00","0","TOTAL","TLW","CY","2006",3607
"F00","0","TOTAL","TLW","CZ","2006",20431
"F00","0","TOTAL","TLW","CZ_SK","2006",21693
"F00","0","TOTAL","TLW","DE","2006",37681
"F00","0","TOTAL","TLW","DK","2006",27906
"F00","0","TOTAL","TLW","EE","2006",703
"F00","0","TOTAL","TLW","EEA18","2006",1900580
"F00","0","TOTAL","TLW","EEA28","2006",1988600
"F00","0","TOTAL","TLW","EEA30","2006",2000966
"F00","0","TOTAL","TLW","EFTA","2006",718819
"F00","0","TOTAL","TLW","EL","2006",113307
"F00","0","TOTAL","TLW","ES","2006",294048
"F00","0","TOTAL","TLW","EU15","2006",1183115
"F00","0","TOTAL","TLW","EU25","2006",1270996
"F00","0","TOTAL","TLW","EU27","2006",1283362
"F00","0","TOTAL","TLW","EX_YU","2006",14674
"F00","0","TOTAL","TLW","FI","2006",12891
"F00","0","TOTAL","TLW","FO","2006",18574
"F00","0","TOTAL","TLW","FR","2006",238400
"F00","0","TOTAL","TLW","HR","2006",13556
"F00","0","TOTAL","TLW","HU","2006",14686
"F00","0","TOTAL","TLW","IE","2006",53122
"F00","0","TOTAL","TLW","IS","2006",8801
"F00","0","TOTAL","TLW","IT","2006",173579
"F00","0","TOTAL","TLW","LT","2006",2224
"F00","0","TOTAL","TLW","LV","2006",567
"F00","0","TOTAL","TLW","ME","2006",11
"F00","0","TOTAL","TLW","MK","2006",646
"F00","0","TOTAL","TLW","MT","2006",7165
"F00","0","TOTAL","TLW","NL","2006",42200
"F00","0","TOTAL","TLW","NO","2006",708803
"F00","0","TOTAL","TLW","PL","2006",35867
"F00","0","TOTAL","TLW","PT","2006",7894
"F00","0","TOTAL","TLW","RO","2006",9109
"F00","0","TOTAL","TLW","RS","2006",4904
"F00","0","TOTAL","TLW","SE","2006",7549
"F00","0","TOTAL","TLW","SI","2006",1367
"F00","0","TOTAL","TLW","SK","2006",1264
"F00","0","TOTAL","TLW","TR","2006",129025
"F00","0","TOTAL","TLW","UK","2006",171847
"F00","0","TOTAL","TLW","AL","2005",1473
"F00","0","TOTAL","TLW","AT","2005",2420
"F00","0","TOTAL","TLW","BA","2005",7070
"F00","0","TOTAL","TLW","BE","2005",414
"F00","0","TOTAL","TLW","BG","2005",3145
"F00","0","TOTAL","TLW","CH","2005",1214
"F00","0","TOTAL","TLW","CY","2005",2387
"F00","0","TOTAL","TLW","CZ","2005",20455
"F00","0","TOTAL","TLW","CZ_SK","2005",21410
"F00","0","TOTAL","TLW","DE","2005",44685
"F00","0","TOTAL","TLW","DK","2005",39012
"F00","0","TOTAL","TLW","EE","2005",555
"F00","0","TOTAL","TLW","EEA18","2005",1839727
"F00","0","TOTAL","TLW","EEA28","2005",1926591
"F00","0","TOTAL","TLW","EEA30","2005",1937020
"F00","0","TOTAL","TLW","EFTA","2005",671350
"F00","0","TOTAL","TLW","EL","2005",106268
"F00","0","TOTAL","TLW","ES","2005",221271
"F00","0","TOTAL","TLW","EU15","2005",1171495
"F00","0","TOTAL","TLW","EU25","2005",1256455
"F00","0","TOTAL","TLW","EU27","2005",1266884
"F00","0","TOTAL","TLW","EX_YU","2005",24942
"F00","0","TOTAL","TLW","FI","2005",14355
"F00","0","TOTAL","TLW","FO","2005",23455
"F00","0","TOTAL","TLW","FR","2005",245160
"F00","0","TOTAL","TLW","GG_JE","2005",650
"F00","0","TOTAL","TLW","HR","2005",11104
"F00","0","TOTAL","TLW","HU","2005",13661
"F00","0","TOTAL","TLW","IE","2005",60050
"F00","0","TOTAL","TLW","IS","2005",8325
"F00","0","TOTAL","TLW","IT","2005",181101
"F00","0","TOTAL","TLW","LT","2005",2013
"F00","0","TOTAL","TLW","LV","2005",542
"F00","0","TOTAL","TLW","MK","2005",868
"F00","0","TOTAL","TLW","MT","2005",5126
"F00","0","TOTAL","TLW","NL","2005",71370
"F00","0","TOTAL","TLW","NO","2005",661811
"F00","0","TOTAL","TLW","PL","2005",37920
"F00","0","TOTAL","TLW","PT","2005",6696
"F00","0","TOTAL","TLW","RO","2005",7284
"F00","0","TOTAL","TLW","RS_ME","2005",4554
"F00","0","TOTAL","TLW","SE","2005",5880
"F00","0","TOTAL","TLW","SI","2005",1346
"F00","0","TOTAL","TLW","SK","2005",955
"F00","0","TOTAL","TLW","TR","2005",119567
"F00","0","TOTAL","TLW","UK","2005",172813
"F00","0","TOTAL","TLW","AL","2004",1569
"F00","0","TOTAL","TLW","AT","2004",2267
"F00","0","TOTAL","TLW","BA","2004",6394
"F00","0","TOTAL","TLW","BE","2004",739
"F00","0","TOTAL","TLW","BG","2004",2489
"F00","0","TOTAL","TLW","CH","2004",1205
"F00","0","TOTAL","TLW","CY","2004",2175
"F00","0","TOTAL","TLW","CZ","2004",19384
"F00","0","TOTAL","TLW","CZ_SK","2004",20564
"F00","0","TOTAL","TLW","DE","2004",57233
"F00","0","TOTAL","TLW","DK","2004",42814
"F00","0","TOTAL","TLW","EE","2004",252
"F00","0","TOTAL","TLW","EEA18","2004",1869878
"F00","0","TOTAL","TLW","EEA28","2004",1950310
"F00","0","TOTAL","TLW","EEA30","2004",1960936
"F00","0","TOTAL","TLW","EFTA","2004",647010
"F00","0","TOTAL","TLW","EL","2004",97143
"F00","0","TOTAL","TLW","ES","2004",297204
"F00","0","TOTAL","TLW","EU15","2004",1227958
"F00","0","TOTAL","TLW","EU25","2004",1304505
"F00","0","TOTAL","TLW","EU27","2004",1315131
"F00","0","TOTAL","TLW","EX_YU","2004",23907
"F00","0","TOTAL","TLW","FI","2004",12821
"F00","0","TOTAL","TLW","FO","2004",46077
"F00","0","TOTAL","TLW","FR","2004",242671
"F00","0","TOTAL","TLW","GG_JE","2004",775
"F00","0","TOTAL","TLW","HR","2004",10367
"F00","0","TOTAL","TLW","HU","2004",12744
"F00","0","TOTAL","TLW","IE","2004",58359
"F00","0","TOTAL","TLW","IS","2004",9003
"F00","0","TOTAL","TLW","IT","2004",118217
"F00","0","TOTAL","TLW","LT","2004",2697
"F00","0","TOTAL","TLW","LV","2004",545
"F00","0","TOTAL","TLW","MK","2004",959
"F00","0","TOTAL","TLW","MT","2004",868
"F00","0","TOTAL","TLW","NL","2004",78598
"F00","0","TOTAL","TLW","NO","2004",636802
"F00","0","TOTAL","TLW","PL","2004",35131
"F00","0","TOTAL","TLW","PT","2004",6700
"F00","0","TOTAL","TLW","RO","2004",8137
"F00","0","TOTAL","TLW","RS_ME","2004",4616
"F00","0","TOTAL","TLW","SE","2004",5989
"F00","0","TOTAL","TLW","SI","2004",1571
"F00","0","TOTAL","TLW","SK","2004",1180
"F00","0","TOTAL","TLW","TR","2004",94450
"F00","0","TOTAL","TLW","UK","2004",207203
"F00","0","TOTAL","TLW","AL","2003",1473
"F00","0","TOTAL","TLW","AT","2003",2233
"F00","0","TOTAL","TLW","BA","2003",6635
"F00","0","TOTAL","TLW","BE","2003",1261
"F00","0","TOTAL","TLW","BG","2003",4465
"F00","0","TOTAL","TLW","CH","2003",1100
"F00","0","TOTAL","TLW","CY","2003",1821
"F00","0","TOTAL","TLW","CZ","2003",19670
"F00","0","TOTAL","TLW","CZ_SK","2003",20551
"F00","0","TOTAL","TLW","DE","2003",74280
"F00","0","TOTAL","TLW","DK","2003",37772
"F00","0","TOTAL","TLW","EE","2003",372
"F00","0","TOTAL","TLW","EEA18","2003",1845141
"F00","0","TOTAL","TLW","EEA28","2003",1923964
"F00","0","TOTAL","TLW","EEA30","2003",1937471
"F00","0","TOTAL","TLW","EFTA","2003",591737
"F00","0","TOTAL","TLW","EL","2003",101434
"F00","0","TOTAL","TLW","ES","2003",271741
"F00","0","TOTAL","TLW","EU15","2003",1258044
"F00","0","TOTAL","TLW","EU25","2003",1333327
"F00","0","TOTAL","TLW","EU27","2003",1346834
"F00","0","TOTAL","TLW","EX_YU","2003",20479
"F00","0","TOTAL","TLW","FI","2003",12558
"F00","0","TOTAL","TLW","FO","2003",62746
"F00","0","TOTAL","TLW","FR","2003",239620
"F00","0","TOTAL","TLW","GG_JE","2003",684
"F00","0","TOTAL","TLW","HR","2003",8387
"F00","0","TOTAL","TLW","HU","2003",11870
"F00","0","TOTAL","TLW","IE","2003",62516
"F00","0","TOTAL","TLW","IS","2003",6214
"F00","0","TOTAL","TLW","IT","2003",191884
"F00","0","TOTAL","TLW","LT","2003",2356
"F00","0","TOTAL","TLW","LV","2003",637
"F00","0","TOTAL","TLW","MK","2003",910
"F00","0","TOTAL","TLW","MT","2003",887
"F00","0","TOTAL","TLW","NL","2003",66540
"F00","0","TOTAL","TLW","NO","2003",584423
"F00","0","TOTAL","TLW","PL","2003",35436
"F00","0","TOTAL","TLW","PT","2003",8033
"F00","0","TOTAL","TLW","RO","2003",9042
"F00","0","TOTAL","TLW","RS_ME","2003",3194
"F00","0","TOTAL","TLW","SE","2003",6334
"F00","0","TOTAL","TLW","SI","2003",1353
"F00","0","TOTAL","TLW","SK","2003",881
"F00","0","TOTAL","TLW","TR","2003",79943
"F00","0","TOTAL","TLW","UK","2003",181838
"F00","0","TOTAL","TLW","AL","2002",860
"F00","0","TOTAL","TLW","AT","2002",2333
"F00","0","TOTAL","TLW","BA","2002",4685
"F00","0","TOTAL","TLW","BE","2002",1834
"F00","0","TOTAL","TLW","BG","2002",2308
"F00","0","TOTAL","TLW","CH","2002",1135
"F00","0","TOTAL","TLW","CY","2002",1862
"F00","0","TOTAL","TLW","CZ","2002",19210
"F00","0","TOTAL","TLW","CZ_SK","2002",20039
"F00","0","TOTAL","TLW","DE","2002",49852
"F00","0","TOTAL","TLW","DK","2002",32026
"F00","0","TOTAL","TLW","EE","2002",257
"F00","0","TOTAL","TLW","EEA18","2002",1744707
"F00","0","TOTAL","TLW","EEA28","2002",1819529
"F00","0","TOTAL","TLW","EEA30","2002",1831085
"F00","0","TOTAL","TLW","EFTA","2002",556017
"F00","0","TOTAL","TLW","EL","2002",87928
"F00","0","TOTAL","TLW","ES","2002",258522
"F00","0","TOTAL","TLW","EU15","2002",1193621
"F00","0","TOTAL","TLW","EU25","2002",1264647
"F00","0","TOTAL","TLW","EU27","2002",1276203
"F00","0","TOTAL","TLW","EX_YU","2002",19174
"F00","0","TOTAL","TLW","FI","2002",15132
"F00","0","TOTAL","TLW","FO","2002",56102
"F00","0","TOTAL","TLW","FR","2002",251770
"F00","0","TOTAL","TLW","GG_JE","2002",580
"F00","0","TOTAL","TLW","HR","2002",8991
"F00","0","TOTAL","TLW","HU","2002",11574
"F00","0","TOTAL","TLW","IE","2002",62568
"F00","0","TOTAL","TLW","IS","2002",3585
"F00","0","TOTAL","TLW","IT","2002",184285
"F00","0","TOTAL","TLW","LT","2002",1750
"F00","0","TOTAL","TLW","LV","2002",430
"F00","0","TOTAL","TLW","MK","2002",883
"F00","0","TOTAL","TLW","MT","2002",1116
"F00","0","TOTAL","TLW","NL","2002",54429
"F00","0","TOTAL","TLW","NO","2002",551297
"F00","0","TOTAL","TLW","PL","2002",32709
"F00","0","TOTAL","TLW","PT","2002",8288
"F00","0","TOTAL","TLW","RO","2002",9248
"F00","0","TOTAL","TLW","RS_ME","2002",3326
"F00","0","TOTAL","TLW","SE","2002",5618
"F00","0","TOTAL","TLW","SI","2002",1289
"F00","0","TOTAL","TLW","SK","2002",829
"F00","0","TOTAL","TLW","TR","2002",61165
"F00","0","TOTAL","TLW","UK","2002",179036
"F00","0","TOTAL","TLW","AL","2001",286
"F00","0","TOTAL","TLW","AT","2001",2393
"F00","0","TOTAL","TLW","BE","2001",1830
"F00","0","TOTAL","TLW","BG","2001",2938
"F00","0","TOTAL","TLW","CH","2001",1135
"F00","0","TOTAL","TLW","CY","2001",1883
"F00","0","TOTAL","TLW","CZ","2001",20098
"F00","0","TOTAL","TLW","CZ_SK","2001",21097
"F00","0","TOTAL","TLW","DE","2001",53409
"F00","0","TOTAL","TLW","DK","2001",41573
"F00","0","TOTAL","TLW","EE","2001",467
"F00","0","TOTAL","TLW","EEA18","2001",1809955
"F00","0","TOTAL","TLW","EEA28","2001",1886879
"F00","0","TOTAL","TLW","EEA30","2001",1900635
"F00","0","TOTAL","TLW","EFTA","2001",516254
"F00","0","TOTAL","TLW","EL","2001",97512
"F00","0","TOTAL","TLW","ES","2001",308915
"F00","0","TOTAL","TLW","EU15","2001",1294836
"F00","0","TOTAL","TLW","EU25","2001",1371760
"F00","0","TOTAL","TLW","EU27","2001",1385516
"F00","0","TOTAL","TLW","EX_YU","2001",16319
"F00","0","TOTAL","TLW","FI","2001",15739
"F00","0","TOTAL","TLW","FO","2001",49167
"F00","0","TOTAL","TLW","FR","2001",251655
"F00","0","TOTAL","TLW","GG_JE","2001",487
"F00","0","TOTAL","TLW","HR","2001",10468
"F00","0","TOTAL","TLW","HU","2001",13056
"F00","0","TOTAL","TLW","IE","2001",60940
"F00","0","TOTAL","TLW","IS","2001",4371
"F00","0","TOTAL","TLW","IT","2001",218330
"F00","0","TOTAL","TLW","LT","2001",2001
"F00","0","TOTAL","TLW","LV","2001",463
"F00","0","TOTAL","TLW","MK","2001",1053
"F00","0","TOTAL","TLW","MT","2001",1235
"F00","0","TOTAL","TLW","NL","2001",57042
"F00","0","TOTAL","TLW","NO","2001",510748
"F00","0","TOTAL","TLW","PL","2001",35460
"F00","0","TOTAL","TLW","PT","2001",8209
"F00","0","TOTAL","TLW","RO","2001",10818
"F00","0","TOTAL","TLW","RS_ME","2001",3536
"F00","0","TOTAL","TLW","SE","2001",6773
"F00","0","TOTAL","TLW","SI","2001",1262
"F00","0","TOTAL","TLW","SK","2001",999
"F00","0","TOTAL","TLW","TR","2001",67244
"F00","0","TOTAL","TLW","UK","2001",170516
"F00","0","TOTAL","TLW","AL","2000",307
