"indic_ef","agrarea","geo","time","values"
"AGRAREA_HA","TOTAL","AT","2013",2726890
"AGRAREA_HA","TOTAL","AT11","2013",181970
"AGRAREA_HA","TOTAL","AT12","2013",908850
"AGRAREA_HA","TOTAL","AT13","2013",8020
"AGRAREA_HA","TOTAL","AT21","2013",220340
"AGRAREA_HA","TOTAL","AT22","2013",375180
"AGRAREA_HA","TOTAL","AT31","2013",517350
"AGRAREA_HA","TOTAL","AT32","2013",178390
"AGRAREA_HA","TOTAL","AT33","2013",259010
"AGRAREA_HA","TOTAL","AT34","2013",77780
"AGRAREA_HA","TOTAL","BE","2013",1307900
"AGRAREA_HA","TOTAL","BE10","2013",2150
"AGRAREA_HA","TOTAL","BE21","2013",92510
"AGRAREA_HA","TOTAL","BE22","2013",83320
"AGRAREA_HA","TOTAL","BE23","2013",148700
"AGRAREA_HA","TOTAL","BE24","2013",85170
"AGRAREA_HA","TOTAL","BE25","2013",203490
"AGRAREA_HA","TOTAL","BE31","2013",59480
"AGRAREA_HA","TOTAL","BE32","2013",203180
"AGRAREA_HA","TOTAL","BE33","2013",151280
"AGRAREA_HA","TOTAL","BE34","2013",134020
"AGRAREA_HA","TOTAL","BE35","2013",144610
"AGRAREA_HA","TOTAL","BG","2013",4650940
"AGRAREA_HA","TOTAL","BG31","2013",936770
"AGRAREA_HA","TOTAL","BG32","2013",793430
"AGRAREA_HA","TOTAL","BG33","2013",822230
"AGRAREA_HA","TOTAL","BG34","2013",845160
"AGRAREA_HA","TOTAL","BG41","2013",554470
"AGRAREA_HA","TOTAL","BG42","2013",698880
"AGRAREA_HA","TOTAL","CY","2013",109330
"AGRAREA_HA","TOTAL","CY00","2013",109330
"AGRAREA_HA","TOTAL","CZ","2013",3491470
"AGRAREA_HA","TOTAL","CZ01","2013",13270
"AGRAREA_HA","TOTAL","CZ02","2013",553240
"AGRAREA_HA","TOTAL","CZ03","2013",731710
"AGRAREA_HA","TOTAL","CZ04","2013",312350
"AGRAREA_HA","TOTAL","CZ05","2013",560550
"AGRAREA_HA","TOTAL","CZ06","2013",719260
"AGRAREA_HA","TOTAL","CZ07","2013",393960
"AGRAREA_HA","TOTAL","CZ08","2013",207130
"AGRAREA_HA","TOTAL","DE","2013",16699580
"AGRAREA_HA","TOTAL","DE1","2013",1422460
"AGRAREA_HA","TOTAL","DE2","2013",3136230
"AGRAREA_HA","TOTAL","DE3","2013",1980
"AGRAREA_HA","TOTAL","DE4","2013",1313810
"AGRAREA_HA","TOTAL","DE5","2013",8450
"AGRAREA_HA","TOTAL","DE6","2013",14440
"AGRAREA_HA","TOTAL","DE7","2013",771890
"AGRAREA_HA","TOTAL","DE8","2013",1340960
"AGRAREA_HA","TOTAL","DE9","2013",2590900
"AGRAREA_HA","TOTAL","DEA","2013",1463030
"AGRAREA_HA","TOTAL","DEB","2013",706950
"AGRAREA_HA","TOTAL","DEC","2013",77920
"AGRAREA_HA","TOTAL","DED","2013",906640
"AGRAREA_HA","TOTAL","DEE","2013",1172780
"AGRAREA_HA","TOTAL","DEF","2013",990450
"AGRAREA_HA","TOTAL","DEG","2013",780670
"AGRAREA_HA","TOTAL","DK","2013",2619340
"AGRAREA_HA","TOTAL","DK01","2013",98480
"AGRAREA_HA","TOTAL","DK02","2013",470050
"AGRAREA_HA","TOTAL","DK03","2013",773600
"AGRAREA_HA","TOTAL","DK04","2013",791690
"AGRAREA_HA","TOTAL","DK05","2013",485520
"AGRAREA_HA","TOTAL","EE","2013",957510
"AGRAREA_HA","TOTAL","EE00","2013",957510
"AGRAREA_HA","TOTAL","EL","2013",4856780
"AGRAREA_HA","TOTAL","EL11","2013",432360
"AGRAREA_HA","TOTAL","EL12","2013",783560
"AGRAREA_HA","TOTAL","EL13","2013",402840
"AGRAREA_HA","TOTAL","EL14","2013",587180
"AGRAREA_HA","TOTAL","EL21","2013",177220
"AGRAREA_HA","TOTAL","EL22","2013",94570
"AGRAREA_HA","TOTAL","EL23","2013",385620
"AGRAREA_HA","TOTAL","EL24","2013",401810
"AGRAREA_HA","TOTAL","EL25","2013",471700
"AGRAREA_HA","TOTAL","EL30","2013",54330
"AGRAREA_HA","TOTAL","EL41","2013",245760
"AGRAREA_HA","TOTAL","EL42","2013",214010
"AGRAREA_HA","TOTAL","EL43","2013",605820
"AGRAREA_HA","TOTAL","ES","2013",23300220
"AGRAREA_HA","TOTAL","ES11","2013",655520
"AGRAREA_HA","TOTAL","ES12","2013",336310
"AGRAREA_HA","TOTAL","ES13","2013",222950
"AGRAREA_HA","TOTAL","ES21","2013",187250
"AGRAREA_HA","TOTAL","ES22","2013",546890
"AGRAREA_HA","TOTAL","ES23","2013",215840
"AGRAREA_HA","TOTAL","ES24","2013",2261690
"AGRAREA_HA","TOTAL","ES30","2013",304150
"AGRAREA_HA","TOTAL","ES41","2013",5295680
"AGRAREA_HA","TOTAL","ES42","2013",4045810
"AGRAREA_HA","TOTAL","ES43","2013",2491730
"AGRAREA_HA","TOTAL","ES51","2013",1125270
"AGRAREA_HA","TOTAL","ES52","2013",637750
"AGRAREA_HA","TOTAL","ES53","2013",176280
"AGRAREA_HA","TOTAL","ES61","2013",4369000
