"crops","unit","geo","time","values"
"C0000","T","BE","2017",43500
"C0000","T","BG","2017",16152
"C0000","T","CY","2017",718
"C0000","T","CZ","2017",70209
"C0000","T","EE","2017",60147
"C0000","T","EL","2017",113773
"C0000","T","ES","2017",206309
"C0000","T","FI","2017",90800
"C0000","T","HR","2017",45292
"C0000","T","HU","2017",69616
"C0000","T","LT","2017",172934
"C0000","T","LU","2017",3050
"C0000","T","LV","2017",68115
"C0000","T","MT","2017",2
"C0000","T","NL","2017",12746
"C0000","T","PL","2017",175963
"C0000","T","RS","2017",19914
"C0000","T","SE","2017",323200
"C0000","T","SK","2017",44963
"C0000","T","UK","2017",104348
"C0000","T","BE","2016",32001
"C0000","T","BG","2016",5943
"C0000","T","CY","2016",183
"C0000","T","CZ","2016",64898
"C0000","T","EE","2016",45867
"C0000","T","EL","2016",113685
"C0000","T","ES","2016",163834
"C0000","T","FI","2016",74600
"C0000","T","HR","2016",47524
"C0000","T","HU","2016",64297
"C0000","T","IE","2016",4368
"C0000","T","IT","2016",800385
"C0000","T","LT","2016",121986
"C0000","T","LU","2016",1943
"C0000","T","LV","2016",58074
"C0000","T","MT","2016",0
"C0000","T","NL","2016",16198
"C0000","T","PL","2016",151311
"C0000","T","RO","2016",218318
"C0000","T","RS","2016",8373
"C0000","T","SE","2016",280000
"C0000","T","SI","2016",4725
"C0000","T","SK","2016",48558
"C0000","T","TR","2016",363513
"C0000","T","UK","2016",136394
"C0000","T","BG","2015",5619
"C0000","T","CY","2015",596
"C0000","T","CZ","2015",65846
"C0000","T","EE","2015",47858
"C0000","T","EL","2015",97565
"C0000","T","ES","2015",179616
"C0000","T","FI","2015",82900
"C0000","T","HR","2015",31066
"C0000","T","HU","2015",57625
"C0000","T","IE","2015",5111
"C0000","T","IT","2015",519897
"C0000","T","LT","2015",123320
"C0000","T","LU","2015",2788
"C0000","T","LV","2015",56986
"C0000","T","MT","2015",5
"C0000","T","NL","2015",20157
"C0000","T","PL","2015",135237
"C0000","T","RO","2015",254867
"C0000","T","RS","2015",17582
"C0000","T","SE","2015",271200
"C0000","T","SI","2015",3386
"C0000","T","SK","2015",41791
"C0000","T","TR","2015",328632
"C0000","T","UK","2015",131483
"C0000","T","BG","2014",7671
"C0000","T","CY","2014",234
"C0000","T","CZ","2014",63888
"C0000","T","EE","2014",37271
"C0000","T","EL","2014",101051
"C0000","T","ES","2014",177670
"C0000","T","FI","2014",78200
"C0000","T","HR","2014",15375
"C0000","T","HU","2014",66737
"C0000","T","IT","2014",443008
"C0000","T","LT","2014",101408
"C0000","T","LU","2014",2294
"C0000","T","LV","2014",51371
"C0000","T","MT","2014",0
"C0000","T","PL","2014",131863
"C0000","T","RO","2014",290081
"C0000","T","RS","2014",20683
"C0000","T","SE","2014",253000
"C0000","T","SI","2014",3929
"C0000","T","SK","2014",40478
"C0000","T","TR","2014",274647
"C0000","T","UK","2014",129671
"C0000","T","BG","2013",3548
"C0000","T","CY","2013",1656
"C0000","T","CZ","2013",62210
"C0000","T","EE","2013",32720
"C0000","T","EL","2013",66130
"C0000","T","ES","2013",181875
"C0000","T","FI","2013",75700
"C0000","T","HR","2013",13564
"C0000","T","HU","2013",66888
"C0000","T","LT","2013",99566
"C0000","T","LU","2013",2429
"C0000","T","LV","2013",46331
"C0000","T","PL","2013",117501
"C0000","T","RO","2013",153989
"C0000","T","RS","2013",16441
"C0000","T","SE","2013",235600
"C0000","T","SI","2013",2943
"C0000","T","SK","2013",43871
"C0000","T","TR","2013",229327
"C0000","T","UK","2013",146578
"C0000","T","CZ","2012",58975
"C0000","T","EE","2012",40224
"C0000","T","ES","2012",160721
"C0000","T","FI","2012",65620
"C0000","T","HU","2012",54338
"C0000","T","IT","2012",863298
"C0000","T","LT","2012",93550
"C0000","T","LU","2012",2116
"C0000","T","LV","2012",47255
"C0000","T","PL","2012",102455
"C0000","T","SE","2012",194000
"C0000","T","SI","2012",2862
