"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","AGRAREA_HA","AT11","2013",181970
"TOTAL","TOTAL","AGRAREA_HA","AT12","2013",908850
"TOTAL","TOTAL","AGRAREA_HA","AT13","2013",8020
"TOTAL","TOTAL","AGRAREA_HA","AT21","2013",220340
"TOTAL","TOTAL","AGRAREA_HA","AT22","2013",375180
"TOTAL","TOTAL","AGRAREA_HA","AT31","2013",517350
"TOTAL","TOTAL","AGRAREA_HA","AT32","2013",178390
"TOTAL","TOTAL","AGRAREA_HA","AT33","2013",259010
"TOTAL","TOTAL","AGRAREA_HA","AT34","2013",77780
"TOTAL","TOTAL","AGRAREA_HA","BE10","2013",2150
"TOTAL","TOTAL","AGRAREA_HA","BE21","2013",92510
"TOTAL","TOTAL","AGRAREA_HA","BE22","2013",83320
"TOTAL","TOTAL","AGRAREA_HA","BE23","2013",148700
"TOTAL","TOTAL","AGRAREA_HA","BE24","2013",85170
"TOTAL","TOTAL","AGRAREA_HA","BE25","2013",203490
"TOTAL","TOTAL","AGRAREA_HA","BE31","2013",59480
"TOTAL","TOTAL","AGRAREA_HA","BE32","2013",203180
"TOTAL","TOTAL","AGRAREA_HA","BE33","2013",151280
"TOTAL","TOTAL","AGRAREA_HA","BE34","2013",134020
"TOTAL","TOTAL","AGRAREA_HA","BE35","2013",144610
"TOTAL","TOTAL","AGRAREA_HA","BG31","2013",936770
"TOTAL","TOTAL","AGRAREA_HA","BG32","2013",793430
"TOTAL","TOTAL","AGRAREA_HA","BG33","2013",822230
"TOTAL","TOTAL","AGRAREA_HA","BG34","2013",845160
"TOTAL","TOTAL","AGRAREA_HA","BG41","2013",554470
"TOTAL","TOTAL","AGRAREA_HA","BG42","2013",698880
"TOTAL","TOTAL","AGRAREA_HA","CY00","2013",109330
"TOTAL","TOTAL","AGRAREA_HA","CZ01","2013",13270
"TOTAL","TOTAL","AGRAREA_HA","CZ02","2013",553240
"TOTAL","TOTAL","AGRAREA_HA","CZ03","2013",731710
"TOTAL","TOTAL","AGRAREA_HA","CZ04","2013",312350
"TOTAL","TOTAL","AGRAREA_HA","CZ05","2013",560550
"TOTAL","TOTAL","AGRAREA_HA","CZ06","2013",719260
"TOTAL","TOTAL","AGRAREA_HA","CZ07","2013",393960
"TOTAL","TOTAL","AGRAREA_HA","CZ08","2013",207130
"TOTAL","TOTAL","AGRAREA_HA","DK01","2013",98480
"TOTAL","TOTAL","AGRAREA_HA","DK02","2013",470050
"TOTAL","TOTAL","AGRAREA_HA","DK03","2013",773600
"TOTAL","TOTAL","AGRAREA_HA","DK04","2013",791690
"TOTAL","TOTAL","AGRAREA_HA","DK05","2013",485520
"TOTAL","TOTAL","AGRAREA_HA","EE00","2013",957510
"TOTAL","TOTAL","AGRAREA_HA","EL11","2013",432360
"TOTAL","TOTAL","AGRAREA_HA","EL12","2013",783560
"TOTAL","TOTAL","AGRAREA_HA","EL13","2013",402840
"TOTAL","TOTAL","AGRAREA_HA","EL14","2013",587180
"TOTAL","TOTAL","AGRAREA_HA","EL21","2013",177220
"TOTAL","TOTAL","AGRAREA_HA","EL22","2013",94570
"TOTAL","TOTAL","AGRAREA_HA","EL23","2013",385620
"TOTAL","TOTAL","AGRAREA_HA","EL24","2013",401810
"TOTAL","TOTAL","AGRAREA_HA","EL25","2013",471700
"TOTAL","TOTAL","AGRAREA_HA","EL30","2013",54330
"TOTAL","TOTAL","AGRAREA_HA","EL41","2013",245760
"TOTAL","TOTAL","AGRAREA_HA","EL42","2013",214010
"TOTAL","TOTAL","AGRAREA_HA","EL43","2013",605820
"TOTAL","TOTAL","AGRAREA_HA","ES11","2013",655520
"TOTAL","TOTAL","AGRAREA_HA","ES12","2013",336310
"TOTAL","TOTAL","AGRAREA_HA","ES13","2013",222950
"TOTAL","TOTAL","AGRAREA_HA","ES21","2013",187250
"TOTAL","TOTAL","AGRAREA_HA","ES22","2013",546890
"TOTAL","TOTAL","AGRAREA_HA","ES23","2013",215840
"TOTAL","TOTAL","AGRAREA_HA","ES24","2013",2261690
"TOTAL","TOTAL","AGRAREA_HA","ES30","2013",304150
"TOTAL","TOTAL","AGRAREA_HA","ES41","2013",5295680
"TOTAL","TOTAL","AGRAREA_HA","ES42","2013",4045810
"TOTAL","TOTAL","AGRAREA_HA","ES43","2013",2491730
"TOTAL","TOTAL","AGRAREA_HA","ES51","2013",1125270
"TOTAL","TOTAL","AGRAREA_HA","ES52","2013",637750
"TOTAL","TOTAL","AGRAREA_HA","ES53","2013",176280
"TOTAL","TOTAL","AGRAREA_HA","ES61","2013",4369000
"TOTAL","TOTAL","AGRAREA_HA","ES62","2013",375860
"TOTAL","TOTAL","AGRAREA_HA","ES63","2013",0
"TOTAL","TOTAL","AGRAREA_HA","ES64","2013",0
"TOTAL","TOTAL","AGRAREA_HA","ES70","2013",52210
"TOTAL","TOTAL","AGRAREA_HA","FI19","2013",791180
"TOTAL","TOTAL","AGRAREA_HA","FI1B","2013",181470
"TOTAL","TOTAL","AGRAREA_HA","FI1C","2013",618850
"TOTAL","TOTAL","AGRAREA_HA","FI1D","2013",671350
"TOTAL","TOTAL","AGRAREA_HA","FI20","2013",19550
"TOTAL","TOTAL","AGRAREA_HA","FR10","2013",571640
"TOTAL","TOTAL","AGRAREA_HA","FR21","2013",1532170
