"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","HOLD_HOLD","AT11","2013",6860
"TOTAL","TOTAL","HOLD_HOLD","AT12","2013",34590
"TOTAL","TOTAL","HOLD_HOLD","AT13","2013",540
"TOTAL","TOTAL","HOLD_HOLD","AT21","2013",13340
"TOTAL","TOTAL","HOLD_HOLD","AT22","2013",30700
"TOTAL","TOTAL","HOLD_HOLD","AT31","2013",27770
"TOTAL","TOTAL","HOLD_HOLD","AT32","2013",8720
"TOTAL","TOTAL","HOLD_HOLD","AT33","2013",14090
"TOTAL","TOTAL","HOLD_HOLD","AT34","2013",3830
"TOTAL","TOTAL","HOLD_HOLD","BE10","2013",40
"TOTAL","TOTAL","HOLD_HOLD","BE21","2013",3720
"TOTAL","TOTAL","HOLD_HOLD","BE22","2013",2980
"TOTAL","TOTAL","HOLD_HOLD","BE23","2013",6550
"TOTAL","TOTAL","HOLD_HOLD","BE24","2013",2950
"TOTAL","TOTAL","HOLD_HOLD","BE25","2013",8680
"TOTAL","TOTAL","HOLD_HOLD","BE31","2013",1030
"TOTAL","TOTAL","HOLD_HOLD","BE32","2013",3970
"TOTAL","TOTAL","HOLD_HOLD","BE33","2013",3160
"TOTAL","TOTAL","HOLD_HOLD","BE34","2013",2350
"TOTAL","TOTAL","HOLD_HOLD","BE35","2013",2320
"TOTAL","TOTAL","HOLD_HOLD","BG31","2013",30430
"TOTAL","TOTAL","HOLD_HOLD","BG32","2013",28670
"TOTAL","TOTAL","HOLD_HOLD","BG33","2013",28030
"TOTAL","TOTAL","HOLD_HOLD","BG34","2013",36790
"TOTAL","TOTAL","HOLD_HOLD","BG41","2013",52130
"TOTAL","TOTAL","HOLD_HOLD","BG42","2013",78350
"TOTAL","TOTAL","HOLD_HOLD","CY00","2013",35380
"TOTAL","TOTAL","HOLD_HOLD","CZ01","2013",60
"TOTAL","TOTAL","HOLD_HOLD","CZ02","2013",3520
"TOTAL","TOTAL","HOLD_HOLD","CZ03","2013",5050
"TOTAL","TOTAL","HOLD_HOLD","CZ04","2013",1940
"TOTAL","TOTAL","HOLD_HOLD","CZ05","2013",4330
"TOTAL","TOTAL","HOLD_HOLD","CZ06","2013",6340
"TOTAL","TOTAL","HOLD_HOLD","CZ07","2013",3150
"TOTAL","TOTAL","HOLD_HOLD","CZ08","2013",1860
"TOTAL","TOTAL","HOLD_HOLD","DK01","2013",2140
"TOTAL","TOTAL","HOLD_HOLD","DK02","2013",6410
"TOTAL","TOTAL","HOLD_HOLD","DK03","2013",10380
"TOTAL","TOTAL","HOLD_HOLD","DK04","2013",11810
"TOTAL","TOTAL","HOLD_HOLD","DK05","2013",7540
"TOTAL","TOTAL","HOLD_HOLD","EE00","2013",19190
"TOTAL","TOTAL","HOLD_HOLD","EL11","2013",52070
