"dairyprod","milkitem","geo","time","values"
"D1100A","PRO","AT","2017",3747.78
"D1100A","PRO","BE","2017",4065
"D1100A","PRO","BG","2017",1091.47
"D1100A","PRO","CY","2017",279.02
"D1100A","PRO","CZ","2017",3079.29
"D1100A","PRO","DE","2017",32614.17
"D1100A","PRO","DK","2017",5502.2
"D1100A","PRO","EE","2017",790.6
"D1100A","PRO","EL","2017",1807
"D1100A","PRO","ES","2017",8300.55
"D1100A","PRO","EU28","2017",170119.75
"D1100A","PRO","FI","2017",2405.76
"D1100A","PRO","FR","2017",25943.26
"D1100A","PRO","HR","2017",668
"D1100A","PRO","HU","2017",1972.99
"D1100A","PRO","IE","2017",7498.94
"D1100A","PRO","IT","2017",12983.23
"D1100A","PRO","LT","2017",1570.71
"D1100A","PRO","LU","2017",390.44
"D1100A","PRO","LV","2017",1000.1
"D1100A","PRO","ME","2017",181.4
"D1100A","PRO","MK","2017",462.22
"D1100A","PRO","MT","2017",41.88
"D1100A","PRO","NL","2017",14372
"D1100A","PRO","NO","2017",0
"D1100A","PRO","PL","2017",13702.38
"D1100A","PRO","PT","2017",2020.76
"D1100A","PRO","RO","2017",4439.2
"D1100A","PRO","RS","2017",1599.26
"D1100A","PRO","SE","2017",2816.66
"D1100A","PRO","SI","2017",649.96
"D1100A","PRO","SK","2017",923.4
"D1100A","PRO","UK","2017",15443
"D1100A","PRO","AT","2016",3659.96
"D1100A","PRO","BE","2016",3920
"D1100A","PRO","BG","2016",1148.66
"D1100A","PRO","CY","2016",237.65
"D1100A","PRO","CZ","2016",3065.27
"D1100A","PRO","DE","2016",32687.64
"D1100A","PRO","DK","2016",5435.7
"D1100A","PRO","EE","2016",783.2
"D1100A","PRO","EL","2016",1897
"D1100A","PRO","ES","2016",8218.49
"D1100A","PRO","EU28","2016",168263.12
"D1100A","PRO","FI","2016",2429.59
"D1100A","PRO","FR","2016",26065.89
"D1100A","PRO","HR","2016",689
"D1100A","PRO","HU","2016",1923.8
"D1100A","PRO","IE","2016",6871.94
"D1100A","PRO","IT","2016",12669.59
"D1100A","PRO","LT","2016",1627.68
"D1100A","PRO","LU","2016",379.42
"D1100A","PRO","LV","2016",986.2
"D1100A","PRO","ME","2016",180.55
"D1100A","PRO","MK","2016",477.35
"D1100A","PRO","MT","2016",45.64
"D1100A","PRO","NL","2016",14294.4
"D1100A","PRO","PL","2016",13251.56
"D1100A","PRO","PT","2016",2020.65
"D1100A","PRO","RO","2016",4585.7
"D1100A","PRO","RS","2016",1603.74
"D1100A","PRO","SE","2016",2862.23
"D1100A","PRO","SI","2016",651.4
"D1100A","PRO","SK","2016",916.88
"D1100A","PRO","UK","2016",14938
"D1100A","PRO","AT","2015",3568.9
"D1100A","PRO","BE","2015",3826
"D1100A","PRO","BG","2015",1152.6
"D1100A","PRO","CY","2015",214.09
"D1100A","PRO","CZ","2015",3026.53
"D1100A","PRO","DE","2015",32684.57
"D1100A","PRO","DK","2015",5335.7
"D1100A","PRO","EE","2015",783.2
"D1100A","PRO","EL","2015",1915
"D1100A","PRO","ES","2015",8105.07
"D1100A","PRO","EU28","2015",168114.84
"D1100A","PRO","FI","2015",2436.76
"D1100A","PRO","FR","2015",26712.84
"D1100A","PRO","HR","2015",707
"D1100A","PRO","HU","2015",1946.65
"D1100A","PRO","IE","2015",6604.41
"D1100A","PRO","IT","2015",12191.94
"D1100A","PRO","LT","2015",1738.52
"D1100A","PRO","LU","2015",349.37
"D1100A","PRO","LV","2015",978.1
"D1100A","PRO","ME","2015",183.09
"D1100A","PRO","MT","2015",44.21
"D1100A","PRO","NL","2015",13783.85
"D1100A","PRO","PL","2015",13252.89
"D1100A","PRO","PT","2015",2114.21
"D1100A","PRO","RO","2015",4676.6
"D1100A","PRO","RS","2015",1610.82
"D1100A","PRO","SE","2015",2933.16
"D1100A","PRO","SI","2015",633.82
"D1100A","PRO","SK","2015",941.86
"D1100A","PRO","UK","2015",15457
"D1100A","PRO","AT","2014",3524.88
"D1100A","PRO","BE","2014",3710
"D1100A","PRO","BG","2014",1231
"D1100A","PRO","CH","2014",0
"D1100A","PRO","CY","2014",212.91
"D1100A","PRO","CZ","2014",2933.69
"D1100A","PRO","DE","2014",32394.97
"D1100A","PRO","DK","2014",5162
"D1100A","PRO","EE","2014",805.2
"D1100A","PRO","EL","2014",1892
