"milkitem","dairyprod","geo","time","values"
"PRO","D1110A","AT11","2017",29.6
"PRO","D1110A","AT12","2017",723.37
"PRO","D1110A","AT13","2017",0
"PRO","D1110A","AT21","2017",234.86
"PRO","D1110A","AT22","2017",574.96
"PRO","D1110A","AT31","2017",1168.57
"PRO","D1110A","AT32","2017",381.17
"PRO","D1110A","AT33","2017",415.81
"PRO","D1110A","AT34","2017",184.39
"PRO","D1110A","BE10","2017",0
"PRO","D1110A","BE21","2017",750.1
"PRO","D1110A","BE22","2017",343.64
"PRO","D1110A","BE23","2017",687.75
"PRO","D1110A","BE24","2017",134.23
"PRO","D1110A","BE25","2017",816.55
"PRO","D1110A","BE31","2017",46.6
"PRO","D1110A","BE32","2017",397.17
"PRO","D1110A","BE33","2017",517.26
"PRO","D1110A","BE34","2017",161.51
"PRO","D1110A","BE35","2017",176.36
"PRO","D1110A","BG31","2017",138
"PRO","D1110A","BG32","2017",142
"PRO","D1110A","BG33","2017",165
"PRO","D1110A","BG34","2017",188
"PRO","D1110A","BG41","2017",70
"PRO","D1110A","BG42","2017",265
"PRO","D1110A","CY00","2017",216.39
"PRO","D1110A","CZ01","2017",3.87
"PRO","D1110A","CZ02","2017",385.88
"PRO","D1110A","CZ03","2017",682.39
"PRO","D1110A","CZ04","2017",107.86
"PRO","D1110A","CZ05","2017",599.49
"PRO","D1110A","CZ06","2017",755.64
"PRO","D1110A","CZ07","2017",367.96
"PRO","D1110A","CZ08","2017",176.13
"PRO","D1110A","DE11","2017",688.89
"PRO","D1110A","DE12","2017",164.38
"PRO","D1110A","DE13","2017",418.81
"PRO","D1110A","DE14","2017",1114.71
"PRO","D1110A","DE21","2017",2464.37
"PRO","D1110A","DE22","2017",999.11
"PRO","D1110A","DE23","2017",1159.91
"PRO","D1110A","DE24","2017",635.62
"PRO","D1110A","DE25","2017",764.96
"PRO","D1110A","DE26","2017",217.92
"PRO","D1110A","DE27","2017",2014.05
"PRO","D1110A","DE30","2017",1.09
"PRO","D1110A","DE50","2017",27.87
"PRO","D1110A","DE60","2017",7.59
"PRO","D1110A","DE71","2017",199.14
"PRO","D1110A","DE72","2017",256.19
"PRO","D1110A","DE73","2017",544.91
"PRO","D1110A","DE80","2017",1484.33
"PRO","D1110A","DE91","2017",187.77
"PRO","D1110A","DE92","2017",569.68
"PRO","D1110A","DE93","2017",2739.82
"PRO","D1110A","DE94","2017",3553.19
"PRO","D1110A","DEA1","2017",815.85
"PRO","D1110A","DEA2","2017",637.14
"PRO","D1110A","DEA3","2017",904.8
"PRO","D1110A","DEA4","2017",474.09
"PRO","D1110A","DEA5","2017",526.02
"PRO","D1110A","DEB1","2017",268.51
"PRO","D1110A","DEB2","2017",477.16
"PRO","D1110A","DEB3","2017",91.1
"PRO","D1110A","DEC0","2017",93.06
"PRO","D1110A","DED2","2017",609.13
"PRO","D1110A","DED4","2017",811.24
"PRO","D1110A","DED5","2017",281.7
"PRO","D1110A","DEF0","2017",2997.66
"PRO","D1110A","DEG0","2017",960.74
"PRO","D1110A","DK01","2017",82.5
"PRO","D1110A","DK02","2017",154.1
"PRO","D1110A","DK03","2017",2145.9
"PRO","D1110A","DK04","2017",1804.7
"PRO","D1110A","DK05","2017",1315
"PRO","D1110A","EE00","2017",790
"PRO","D1110A","EL30","2017",10.25
"PRO","D1110A","EL41","2017",2.96
"PRO","D1110A","EL42","2017",19.56
"PRO","D1110A","EL43","2017",1.07
"PRO","D1110A","EL51","2017",113.25
"PRO","D1110A","EL52","2017",315.46
"PRO","D1110A","EL53","2017",34.38
"PRO","D1110A","EL54","2017",18.39
"PRO","D1110A","EL61","2017",105.89
"PRO","D1110A","EL62","2017",0.79
"PRO","D1110A","EL63","2017",23.32
"PRO","D1110A","EL64","2017",20.05
"PRO","D1110A","EL65","2017",4.93
"PRO","D1110A","ES11","2017",2749.61
"PRO","D1110A","ES12","2017",578.07
"PRO","D1110A","ES13","2017",468.63
"PRO","D1110A","ES21","2017",191.6
"PRO","D1110A","ES22","2017",245.8
"PRO","D1110A","ES23","2017",20.94
"PRO","D1110A","ES24","2017",146.9
"PRO","D1110A","ES30","2017",57.63
"PRO","D1110A","ES41","2017",902.01
"PRO","D1110A","ES42","2017",267.17
"PRO","D1110A","ES43","2017",29.07
"PRO","D1110A","ES51","2017",755
"PRO","D1110A","ES52","2017",74.34
"PRO","D1110A","ES53","2017",75.38
"PRO","D1110A","ES61","2017",560.57
"PRO","D1110A","ES62","2017",62.28
"PRO","D1110A","ES63","2017",0
"PRO","D1110A","ES64","2017",0
"PRO","D1110A","ES70","2017",44.35
"PRO","D1110A","FI19","2017",686.43
"PRO","D1110A","FI1B","2017",69.12
"PRO","D1110A","FI1C","2017",305.59
"PRO","D1110A","FI1D","2017",1325.14
"PRO","D1110A","FI20","2017",19.5
"PRO","D1110A","FR10","2017",39.29
"PRO","D1110A","FRB0","2017",476.26
"PRO","D1110A","FRC1","2017",358.1
"PRO","D1110A","FRC2","2017",1238.76
"PRO","D1110A","FRD1","2017",3014.14
"PRO","D1110A","FRD2","2017",871.04
"PRO","D1110A","FRE1","2017",1479.53
"PRO","D1110A","FRE2","2017",890.47
"PRO","D1110A","FRF1","2017",334.21
"PRO","D1110A","FRF2","2017",662.72
"PRO","D1110A","FRF3","2017",1317.97
"PRO","D1110A","FRG0","2017",3922.02
"PRO","D1110A","FRH0","2017",5607.07
"PRO","D1110A","FRI1","2017",475.58
"PRO","D1110A","FRI2","2017",140.48
"PRO","D1110A","FRI3","2017",587.04
"PRO","D1110A","FRJ1","2017",74.19
"PRO","D1110A","FRJ2","2017",725.56
"PRO","D1110A","FRK1","2017",1157.05
"PRO","D1110A","FRK2","2017",1587.84
"PRO","D1110A","FRL0","2017",27.49
"PRO","D1110A","FRM0","2017",0
"PRO","D1110A","FRY1","2017",0
"PRO","D1110A","FRY2","2017",0.24
"PRO","D1110A","FRY3","2017",0.06
"PRO","D1110A","FRY4","2017",19.38
"PRO","D1110A","FRY5","2017",1.15
"PRO","D1110A","HR03","2017",41
"PRO","D1110A","HR04","2017",607
"PRO","D1110A","HU10","2017",149.31
"PRO","D1110A","HU12","2017",149.24
"PRO","D1110A","HU21","2017",296.79
"PRO","D1110A","HU22","2017",284.33
"PRO","D1110A","HU23","2017",252.39
"PRO","D1110A","HU31","2017",141.03
"PRO","D1110A","HU32","2017",461.55
"PRO","D1110A","HU33","2017",382.09
"PRO","D1110A","IE04","2017",858.03
"PRO","D1110A","IE05","2017",5439.33
"PRO","D1110A","IE06","2017",1201.58
"PRO","D1110A","ITC1","2017",872.22
"PRO","D1110A","ITC2","2017",73.19
"PRO","D1110A","ITC3","2017",47.58
"PRO","D1110A","ITC4","2017",4873.45
"PRO","D1110A","ITF1","2017",69.53
"PRO","D1110A","ITF2","2017",50.02
"PRO","D1110A","ITF3","2017",317.17
"PRO","D1110A","ITF4","2017",236.66
"PRO","D1110A","ITF5","2017",69.53
"PRO","D1110A","ITF6","2017",109.79
"PRO","D1110A","ITG1","2017",263.5
"PRO","D1110A","ITG2","2017",243.98
"PRO","D1110A","ITH1","2017",420.86
"PRO","D1110A","ITH2","2017",173.22
"PRO","D1110A","ITH3","2017",1062.52
"PRO","D1110A","ITH4","2017",191.52
"PRO","D1110A","ITH5","2017",2534.93
"PRO","D1110A","ITI1","2017",95.15
"PRO","D1110A","ITI2","2017",53.68
"PRO","D1110A","ITI3","2017",62.21
"PRO","D1110A","ITI4","2017",378.17
"PRO","D1110A","LT00","2017",1566.7
"PRO","D1110A","LT01","2017",63.4
"PRO","D1110A","LT02","2017",1503.3
"PRO","D1110A","LU00","2017",387.18
"PRO","D1110A","LV00","2017",998
"PRO","D1110A","ME00","2017",169.3
"PRO","D1110A","MT00","2017",41.03
"PRO","D1110A","NL11","2017",924
"PRO","D1110A","NL12","2017",2629
"PRO","D1110A","NL13","2017",969
"PRO","D1110A","NL21","2017",2315
"PRO","D1110A","NL22","2017",2174
"PRO","D1110A","NL23","2017",316
"PRO","D1110A","NL31","2017",763
"PRO","D1110A","NL32","2017",768
"PRO","D1110A","NL33","2017",898
"PRO","D1110A","NL34","2017",201
"PRO","D1110A","NL41","2017",2075
"PRO","D1110A","NL42","2017",469
"PRO","D1110A","PL21","2017",309
"PRO","D1110A","PL22","2017",267
"PRO","D1110A","PL41","2017",1892
"PRO","D1110A","PL42","2017",140
"PRO","D1110A","PL43","2017",101
"PRO","D1110A","PL51","2017",186
"PRO","D1110A","PL52","2017",285
"PRO","D1110A","PL61","2017",962
"PRO","D1110A","PL62","2017",1107
"PRO","D1110A","PL63","2017",373
"PRO","D1110A","PL71","2017",1062
"PRO","D1110A","PL72","2017",243
"PRO","D1110A","PL81","2017",834
"PRO","D1110A","PL82","2017",212
"PRO","D1110A","PL84","2017",2812
"PRO","D1110A","PL91","2017",135
"PRO","D1110A","PL92","2017",2774
"PRO","D1110A","PT11","2017",727.08
"PRO","D1110A","PT15","2017",0.34
"PRO","D1110A","PT16","2017",224.27
"PRO","D1110A","PT17","2017",77.89
"PRO","D1110A","PT18","2017",259.41
"PRO","D1110A","PT20","2017",630.61
"PRO","D1110A","PT30","2017",1.6
"PRO","D1110A","RO11","2017",719.6
"PRO","D1110A","RO12","2017",675.3
"PRO","D1110A","RO21","2017",915.3
"PRO","D1110A","RO22","2017",377.6
"PRO","D1110A","RO31","2017",446.1
"PRO","D1110A","RO32","2017",16.8
"PRO","D1110A","RO41","2017",338.8
"PRO","D1110A","RO42","2017",308.2
"PRO","D1110A","SE11","2017",25.71
"PRO","D1110A","SE12","2017",439.37
"PRO","D1110A","SE21","2017",819.49
"PRO","D1110A","SE22","2017",369.89
"PRO","D1110A","SE23","2017",719.15
"PRO","D1110A","SE31","2017",176.86
"PRO","D1110A","SE32","2017",114.34
"PRO","D1110A","SE33","2017",151.86
"PRO","D1110A","SI03","2017",427.01
"PRO","D1110A","SI04","2017",220.97
"PRO","D1110A","SK01","2017",45.05
"PRO","D1110A","SK02","2017",463.21
"PRO","D1110A","SK03","2017",234.97
"PRO","D1110A","SK04","2017",168.5
"PRO","D1110A","TR10","2017",121.94
"PRO","D1110A","TR21","2017",670.83
"PRO","D1110A","TR22","2017",948.83
"PRO","D1110A","TR31","2017",1085.3
"PRO","D1110A","TR32","2017",1117.68
"PRO","D1110A","TR33","2017",1155.55
"PRO","D1110A","TR41","2017",457.86
"PRO","D1110A","TR42","2017",502.21
"PRO","D1110A","TR51","2017",304.38
"PRO","D1110A","TR52","2017",1293.36
"PRO","D1110A","TR61","2017",703.26
"PRO","D1110A","TR62","2017",424.75
"PRO","D1110A","TR63","2017",533.01
"PRO","D1110A","TR71","2017",837.52
"PRO","D1110A","TR72","2017",1046.91
"PRO","D1110A","TR81","2017",173.15
"PRO","D1110A","TR82","2017",640.12
