"prod_bal","bal_item","geo","time","values"
"B2200","10HL","AT","2016",2268.4
"B2200","10HL","BE","2016",10.3
"B2200","10HL","BG","2016",1568
"B2200","10HL","CY","2016",79.3
"B2200","10HL","CZ","2016",783
"B2200","10HL","DE","2016",8907
"B2200","10HL","EE","2016",0
"B2200","10HL","EL","2016",2501.1
"B2200","10HL","ES","2016",43284
"B2200","10HL","FR","2016",47857
"B2200","10HL","HR","2016",992
"B2200","10HL","IE","2016",0
"B2200","10HL","IT","2016",50700
"B2200","10HL","LT","2016",0
"B2200","10HL","LU","2016",111
"B2200","10HL","PT","2016",7045
"B2200","10HL","SI","2016",823.102
"B2200","10HL","SK","2016",342.96
"B2200","10HL","TR","2016",561.948
"B2200","10HL","UK","2016",38
"B2200","10HL","AT","2015",1998.7
"B2200","10HL","BE","2015",7
"B2200","10HL","BG","2015",881
"B2200","10HL","CY","2015",93.6
"B2200","10HL","CZ","2015",536
"B2200","10HL","DE","2015",9294
"B2200","10HL","EL","2015",2800
"B2200","10HL","ES","2015",45015
"B2200","10HL","FR","2015",47423
"B2200","10HL","HR","2015",842
"B2200","10HL","IE","2015",0
"B2200","10HL","IT","2015",42088
"B2200","10HL","LT","2015",0
"B2200","10HL","LU","2015",125
"B2200","10HL","MT","2015",21.4
"B2200","10HL","PT","2015",6206
"B2200","10HL","SI","2015",659.463
"B2200","10HL","SK","2015",286.15
"B2200","10HL","UK","2015",27
"B2200","10HL","AT","2014",2392
"B2200","10HL","BE","2014",5.5
"B2200","10HL","BG","2014",1913
"B2200","10HL","CY","2014",108.1
"B2200","10HL","CZ","2014",520.11
"B2200","10HL","DE","2014",8493
"B2200","10HL","EL","2014",3343
"B2200","10HL","ES","2014",53550
"B2200","10HL","FR","2014",42316
"B2200","10HL","HR","2014",1249
"B2200","10HL","IE","2014",0
"B2200","10HL","IT","2014",47966
"B2200","10HL","LT","2014",0
"B2200","10HL","LU","2014",101
"B2200","10HL","LV","2014",26.4
"B2200","10HL","MT","2014",21.2
"B2200","10HL","PT","2014",6231
"B2200","10HL","SE","2014",0
"B2200","10HL","SK","2014",373.49
"B2200","10HL","UK","2014",33
"B2200","10HL","AT","2013",2154.8
"B2200","10HL","BE","2013",2.9
"B2200","10HL","BG","2013",1442
"B2200","10HL","CY","2013",111.83
"B2200","10HL","CZ","2013",487
"B2200","10HL","DE","2013",9102
"B2200","10HL","EE","2013",0
"B2200","10HL","EL","2013",3115.3
"B2200","10HL","ES","2013",35778
"B2200","10HL","FR","2013",41363
"B2200","10HL","HR","2013",1249
"B2200","10HL","IE","2013",0
"B2200","10HL","IT","2013",41074
"B2200","10HL","LT","2013",0
"B2200","10HL","LU","2013",85
"B2200","10HL","MT","2013",21.9
"B2200","10HL","PT","2013",6308
"B2200","10HL","SE","2013",0
"B2200","10HL","SI","2013",646.26
"B2200","10HL","SK","2013",325.27
"B2200","10HL","UK","2013",8
"B2200","10HL","AT","2012",2814.8
"B2200","10HL","BE","2012",5.4
"B2200","10HL","BG","2012",1236
"B2200","10HL","CY","2012",84.3
"B2200","10HL","CZ","2012",650
"B2200","10HL","DE","2012",9223
"B2200","10HL","EE","2012",0
"B2200","10HL","EL","2012",2750
"B2200","10HL","ES","2012",38633
"B2200","10HL","FI","2012",0
"B2200","10HL","FR","2012",51086
"B2200","10HL","IE","2012",0
"B2200","10HL","IT","2012",42705
"B2200","10HL","LT","2012",0
"B2200","10HL","LU","2012",132
"B2200","10HL","MT","2012",40
