"itm_newa","geo","time","values"
"40000","AT","2018",118.18
"40000","BE","2018",57.08
"40000","BG","2018",220
"40000","CH","2018",74.65
"40000","CY","2018",22.03
"40000","CZ","2018",104.6
"40000","DE","2018",475.21
"40000","DK","2018",53.9
"40000","EA11","2018",3989.99
"40000","EA12","2018",4418.19
"40000","EA16","2018",4566.34
"40000","EA19","2018",4805.95
"40000","EE","2018",20.14
"40000","EL","2018",428.2
"40000","ES","2018",861.09
"40000","EU15","2018",4823.11
"40000","EU25","2018",7396.17
"40000","EU27","2018",9077.17
"40000","EU28","2018",9250.33
"40000","FI","2018",59.9
"40000","FR","2018",737.96
"40000","HR","2018",173.16
"40000","HU","2018",404.9
"40000","IE","2018",160.7
"40000","IT","2018",1124.3
"40000","LT","2018",147.94
"40000","LU","2018",3.43
"40000","LV","2018",71.53
"40000","MT","2018",5.04
"40000","NL","2018",147.43
"40000","NO","2018",43.2
"40000","PL","2018",1675.8
"40000","PT","2018",244.72
"40000","RO","2018",1461
"40000","SE","2018",55.95
"40000","SI","2018",77.88
"40000","SK","2018",43.2
"40000","UK","2018",295.07
"40000","AT","2017",118.87
"40000","BE","2017",57.49
"40000","BG","2017",236.4
"40000","CH","2017",75.33
"40000","CY","2017",22.07
"40000","CZ","2017",104.6
"40000","DE","2017",477.6
"40000","DK","2017",53.9
"40000","EA11","2017",4012.41
"40000","EA12","2017",4452.11
"40000","EA16","2017",4601.47
"40000","EA19","2017",4843.21
"40000","EE","2017",20.33
"40000","EL","2017",439.7
"40000","ES","2017",871.97
"40000","EU15","2017",4857.57
"40000","EU25","2017",7450.48
"40000","EU27","2017",9188.88
"40000","EU28","2017",9362.88
"40000","FI","2017",63.4
"40000","FR","2017",745.66
"40000","HR","2017",174
"40000","HU","2017",421.42
"40000","IE","2017",160.7
"40000","IS","2017",3.76
"40000","IT","2017",1122
"40000","LT","2017",146.7
"40000","LU","2017",3.44
"40000","LV","2017",74.71
"40000","MT","2017",5.04
"40000","NL","2017",147.38
"40000","NO","2017",44.1
"40000","PL","2017",1675.8
"40000","PT","2017",243.9
"40000","RO","2017",1502
"40000","SE","2017",57.13
"40000","SI","2017",78.75
"40000","SK","2017",43.5
"40000","UK","2017",294.43
"40000","AT","2016",119.6
"40000","BE","2016",55.35
"40000","BG","2016",253.9
"40000","CH","2016",76.32
"40000","CY","2016",20.85
"40000","CZ","2016",104.5
"40000","DE","2016",480
"40000","DK","2016",54.03
"40000","EA11","2016",3998.35
"40000","EA12","2016",4449.95
"40000","EA16","2016",4604.47
"40000","EA19","2016",4849.82
"40000","EE","2016",20.3
"40000","EL","2016",451.6
"40000","ES","2016",829.51
"40000","EU15","2016",4853.91
"40000","EU25","2016",7468.36
"40000","EU27","2016",9301.26
"40000","EU28","2016",9475.26
"40000","FI","2016",64
"40000","FR","2016",752.91
"40000","HR","2016",174
"40000","HU","2016",434.28
"40000","IE","2016",160.7
"40000","IS","2016",3.83
"40000","IT","2016",1136.5
"40000","LT","2016",148.8
"40000","LU","2016",3.45
"40000","LV","2016",76.25
"40000","MT","2016",5
"40000","NL","2016",145.4
"40000","NO","2016",45
"40000","PL","2016",1675.8
"40000","PT","2016",250.93
"40000","RO","2016",1579
"40000","SE","2016",58.33
"40000","SI","2016",79.97
"40000","SK","2016",48.7
"40000","UK","2016",291.6
"40000","AT","2015",120.38
"40000","BE","2015",57.12
"40000","BG","2015",274.3
"40000","CH","2015",76.85
"40000","CY","2015",17.74
"40000","CZ","2015",104.8
"40000","DE","2015",496
"40000","DK","2015",54.68
"40000","EA11","2015",3998.29
"40000","EA12","2015",4454.69
"40000","EA16","2015",4607.7
"40000","EA19","2015",4856.65
"40000","EE","2015",20.28
"40000","EL","2015",456.4
"40000","ES","2015",800.53
"40000","EU15","2015",4863.32
"40000","EU25","2015",7749.08
"40000","EU27","2015",9380.38
"40000","EU28","2015",9562.38
"40000","FI","2015",79.4
"40000","FR","2015",761.6
"40000","HR","2015",182
"40000","HU","2015",441.9
"40000","IE","2015",163.64
"40000","IS","2015",3.8
"40000","IT","2015",1111.8
"40000","LT","2015",150.8
"40000","LU","2015",3.53
"40000","LV","2015",77.87
"40000","MK","2015",153
"40000","MT","2015",5
"40000","NL","2015",146.1
"40000","NO","2015",46
"40000","PL","2015",1937.1
"40000","PT","2015",258.18
"40000","RO","2015",1357
"40000","SE","2015",59.55
"40000","SI","2015",81.37
"40000","SK","2015",48.9
"40000","UK","2015",294.4
"40000","AT","2014",122.26
"40000","BE","2014",56.84
"40000","BG","2014",296.4
"40000","CH","2014",77.36
"40000","CY","2014",25.03
"40000","CZ","2014",104.9
"40000","DE","2014",504
"40000","DK","2014",54.09
"40000","EA11","2014",4024.73
"40000","EA12","2014",4486.13
"40000","EA16","2014",4651.86
"40000","EA19","2014",4900.15
"40000","EE","2014",21.97
"40000","EL","2014",461.4
"40000","ES","2014",810.01
"40000","EU15","2014",4894.72
"40000","EU25","2014",7813.68
"40000","EU27","2014",9543.08
"40000","EU28","2014",9731.08
"40000","FI","2014",81.2
"40000","FR","2014",774.5
"40000","HR","2014",188
"40000","HU","2014",462.93
"40000","IE","2014",163.64
"40000","IS","2014",3.5
"40000","IT","2014",1095.3
"40000","LT","2014",149.9
"40000","LU","2014",3.53
"40000","LV","2014",76.42
"40000","MK","2014",146
"40000","MT","2014",5
"40000","NL","2014",148.3
"40000","NO","2014",47.1
"40000","PL","2014",1937.1
"40000","PT","2014",265.15
"40000","RO","2014",1433
"40000","SE","2014",60.8
"40000","SI","2014",81.8
"40000","SK","2014",53.9
"40000","UK","2014",293.7
"40000","AT","2013",124.19
"40000","BE","2013",57.9
"40000","BG","2013",321.2
"40000","CH","2013",77.7
"40000","CY","2013",25.6
"40000","CZ","2013",105.1
"40000","DE","2013",503
"40000","DK","2013",52.71
"40000","EA11","2013",4060.4
"40000","EA12","2013",4527.39
"40000","EA16","2013",4694.93
"40000","EA19","2013",4944.87
"40000","EE","2013",22.27
"40000","EL","2013",466.99
"40000","ES","2013",841.68
"40000","EU15","2013",4935.63
"40000","EU25","2013",7839.73
"40000","EU27","2013",9724.93
"40000","EU28","2013",9915.93
"40000","FI","2013",75.9
"40000","FR","2013",781
"40000","HR","2013",191
"40000","HU","2013",444.42
"40000","IE","2013",163.64
"40000","IS","2013",3.98
"40000","IT","2013",1077.5
"40000","LT","2013",144.8
"40000","LU","2013",3.56
"40000","LV","2013",82.87
"40000","MK","2013",139
"40000","MT","2013",5
"40000","NL","2013",150.7
"40000","NO","2013",48.1
"40000","PL","2013",1937.1
"40000","PT","2013",281.33
"40000","RO","2013",1564
"40000","SE","2013",62.08
"40000","SI","2013",82.75
"40000","SK","2013",54.2
"40000","UK","2013",293.45
"40000","AT","2012",125.96
"40000","BE","2012",58.12
"40000","BG","2012",347.4
"40000","CH","2012",79.13
"40000","CY","2012",25.3
"40000","CZ","2012",105.8
"40000","DE","2012",513.6
"40000","DK","2012",52.46
"40000","EA11","2012",4163
"40000","EA12","2012",4620.95
"40000","EA16","2012",4789.04
"40000","EA19","2012",5042.07
"40000","EE","2012",23.15
"40000","EL","2012",457.95
"40000","ES","2012",889.65
"40000","EU15","2012",5032.87
"40000","EU25","2012",7907.87
"40000","EU27","2012",9828.27
"40000","EU28","2012",10030.27
"40000","FI","2012",79.5
"40000","FR","2012",788.2
"40000","HR","2012",202
"40000","HU","2012",433.28
"40000","IE","2012",165.46
"40000","IS","2012",4.12
"40000","IT","2012",1093.7
"40000","LT","2012",145.4
"40000","LU","2012",3.78
"40000","LV","2012",84.48
"40000","MK","2012",118
"40000","MT","2012",4.9
"40000","NL","2012",148.9
"40000","NO","2012",49.2
"40000","PL","2012",1914.8
"40000","PT","2012",296.12
"40000","RO","2012",1573
"40000","SE","2012",63.14
"40000","SI","2012",80.8
"40000","SK","2012",57.1
"40000","UK","2012",296.33
"40000","AT","2011",126.47
"40000","BE","2011",57.61
"40000","BG","2011",375.8
"40000","CH","2011",79.86
"40000","CY","2011",25.4
"40000","CZ","2011",106.2
"40000","DE","2011",517.5
"40000","DK","2011",52.06
"40000","EA11","2011",4228.29
"40000","EA12","2011",4677.72
"40000","EA16","2011",4843.41
"40000","EA19","2011",5098.87
"40000","EE","2011",24.37
"40000","EL","2011",449.43
"40000","ES","2011",903.31
"40000","EU15","2011",5090.1
"40000","EU25","2011",7969.2
"40000","EU27","2011",9877
"40000","EU28","2011",10076
"40000","FI","2011",81.2
"40000","FR","2011",799.5
"40000","HR","2011",199
"40000","HU","2011",436.95
"40000","IE","2011",165.6
"40000","IS","2011",4.29
"40000","IT","2011",1122.7
"40000","LT","2011",142.8
"40000","LU","2011",3.67
"40000","LV","2011",88.29
"40000","MK","2011",131
"40000","MT","2011",4.9
"40000","NL","2011",151.7
"40000","NO","2011",50.3
"40000","PL","2011",1914.8
"40000","PT","2011",299.04
"40000","RO","2011",1532
"40000","SE","2011",64.22
"40000","SI","2011",77.99
"40000","SK","2011",57.4
"40000","UK","2011",296.1
"40000","AT","2010",127.9
"40000","BE","2010",61.9
"40000","BG","2010",406.5
"40000","CH","2010",80.74
"40000","CY","2010",25.4
"40000","CZ","2010",108.8
"40000","DE","2010",522
"40000","DK","2010",54.2
"40000","EA11","2010",4362.41
"40000","EA12","2010",4803.86
"40000","EA16","2010",4967.27
"40000","EA19","2010",5221.91
